StorAll	Snow	Intercp	Surface	Soil	SoilL1	SoilL2	SoilL3	RZW	GW	ET	EvapS	EvapI	EvapT	Leakage	SrfOut	GWOut	AllOut	SrftoCh	GWtoCh	Rchrge
53.3436	17.21	-nan	16.0942	58.7041	22.9209	32.5343	65.4092	41.5701	65.0369	18.364	20.1677	1	30.7769	-nan	16.5772	72.5769	18.0983	17.6847	66.6804	0.0469742
54.037	17.5597	-nan	16.5319	59.6687	23.7312	33.6107	66.3845	42.5149	66.014	18.7471	20.6762	1	31.2216	-nan	17.6093	73.5779	18.5832	18.9743	67.6821	0.0372285
55.0681	18.5934	-nan	19.015	60.6823	24.8144	34.6835	67.3589	43.5915	66.9903	24.0335	21.6211	-nan	31.9762	-nan	19.5732	74.5774	23.2137	23.7573	68.6827	0
56.0944	19.6175	-nan	21.7167	61.698	25.9066	35.7717	68.336	44.672	67.9694	25.5693	22.8333	-nan	33.2947	-nan	22.0181	75.5771	24.9056	27.1711	69.6834	0.0695844
57.1164	20.6374	-nan	24.3931	62.7124	27.0025	36.8642	69.3141	45.7501	68.949	27.1529	23.9779	-nan	34.6255	-nan	24.8051	76.5768	26.6816	29.7472	70.6842	0.0822287
58.1397	21.6496	-nan	26.664	63.7328	28.1181	37.9589	70.2933	46.841	69.9302	28.233	25.564	-nan	35.994	-nan	27.2571	77.5767	28.0619	30.7418	71.685	0.0039715
58.7029	21.6525	-nan	25.8909	64.677	28.8595	39.0562	71.2736	47.7326	70.913	20.1097	26.4298	1	37.4321	-nan	27.2575	78.5777	21.8547	25.7814	72.6868	0.0441554
57.5442	18.5993	-nan	18.7488	65.5522	29.2876	40.0641	72.2436	48.4471	71.8889	18.7701	23.9439	1	37.816	-nan	17.4288	79.5786	18.0946	13.1418	73.6886	0.0163469
56.0466	16.1413	-nan	14.27	66.482	30.0455	41.0582	73.208	49.3164	72.8609	16.4131	23.1007	1	36.5065	-nan	11.2871	80.5785	12.2442	6.56629	74.6901	0.0483606
57.0036	17.0483	-nan	20.4244	67.4667	31.0391	42.1244	74.1819	50.3235	73.8392	15.982	24.2499	1	36.6224	-nan	16.6792	81.5785	16.4958	27.372	75.6917	0
57.7695	17.7114	-nan	24.9085	68.4547	32.0136	43.1999	75.159	51.3316	74.8203	19.4099	25.7676	1	37.5656	-nan	22.0566	82.5786	20.8528	23.5355	76.6934	0
58.5258	18.3623	-nan	28.0096	69.4497	33.0168	44.2764	76.1371	52.3562	75.8025	20.8582	26.6106	1	38.45	-nan	26.4003	83.5788	23.2162	24.741	77.6951	0
59.5466	19.3866	-nan	30.5731	70.4485	34.0691	45.3501	77.1154	53.3942	76.7846	30.8795	27.6114	-nan	39.3914	-nan	30.2962	84.5778	30.5698	31.0973	78.6961	0
60.5063	20.3271	-nan	32.5077	71.446	35.116	46.4298	78.0946	54.4288	77.7678	18.154	28.983	1	40.6106	-nan	33.2209	85.5779	25.4152	34.1811	79.6978	0
61.5195	21.3479	-nan	33.7313	72.4437	36.1677	47.5068	79.0743	55.4636	78.7514	35.547	30.0457	-nan	41.6982	-nan	35.3855	86.5771	35.4429	34.8096	80.6988	0
62.3187	22.0322	-nan	35.4869	73.4419	37.2158	48.5832	80.0541	56.4988	79.7356	19.0921	31.7211	1	43.0919	-nan	36.5616	87.5773	27.8664	37.5586	81.7005	0
63.3331	23.0475	-nan	37.5161	74.4456	38.2939	49.6625	81.0354	57.5473	80.7212	36.757	33.0831	-nan	44.0815	-nan	38.4321	88.5767	37.8159	39.2789	82.7017	0
63.8503	23.2823	-nan	39.4179	75.4368	39.3012	50.7433	82.0171	58.5614	81.7075	16.9824	33.6873	1	45.6412	-nan	39.4643	89.5769	29.7098	39.9049	83.7034	0
63.9177	22.8902	-nan	40.3022	76.423	40.2877	51.8205	82.9995	59.562	82.6946	9.95498	32.5413	1	46.5959	-nan	40.4805	90.5772	30.6574	36.5543	84.7052	0
64.9324	23.9153	-nan	41.7753	77.4195	41.3393	52.8846	83.9812	60.5908	83.6814	41.6984	34.0389	-nan	47.0609	-nan	41.6754	91.5766	41.682	38.5767	85.7065	0
65.947	24.934	-nan	43.7831	78.4212	42.4095	53.9582	84.9647	61.6312	84.6698	40.5738	35.6588	-nan	48.0215	-nan	43.3278	92.5762	42.7722	41.1994	86.7079	0
66.9606	25.9491	-nan	45.9431	79.4247	43.486	55.0352	85.9491	62.6756	85.6592	40.8358	36.4302	-nan	49.1	-nan	45.4823	93.5758	44.4358	44.0371	87.7093	0
67.973	26.9595	-nan	48.377	80.4308	44.5764	56.113	86.9338	63.7267	86.6489	41.201	37.8319	-nan	50.257	-nan	48.0648	94.5755	46.1651	47.6774	88.7107	0
68.9823	27.9697	-nan	50.0365	81.4343	45.6531	57.1909	87.9192	64.7702	87.6393	43.3673	38.2759	-nan	51.4957	-nan	50.5981	95.5751	49.0083	49.9889	89.7121	0
69.4698	28.123	-nan	50.521	82.4324	46.699	58.2666	88.9041	65.7989	88.6294	10.9268	39.5671	1	52.8811	-nan	51.1135	96.5754	37.4088	46.679	90.7138	0
70.2017	28.6778	-nan	52.2636	83.4349	47.7717	59.3412	89.8898	66.8392	89.6202	12.1394	40.883	1	53.7075	-nan	51.9669	97.576	38.416	49.5461	91.7156	0
71.2122	29.6888	-nan	54.5713	84.4402	48.8563	60.4166	90.8761	67.8858	90.6116	46.3484	42.5589	-nan	54.8247	-nan	53.9592	98.5759	52.5417	52.79	92.7171	0
72.222	30.6953	-nan	57.411	85.4486	49.9571	61.4947	91.8628	68.9406	91.6034	45.8907	43.3045	-nan	56.1518	-nan	56.7017	99.5759	54.0296	57.0574	93.7186	0
73.2306	31.6984	-nan	60.301	86.4593	51.0712	62.5739	92.8501	70.0014	92.5958	46.7454	44.9959	-nan	57.7718	-nan	59.8682	100.576	55.8863	61.2333	94.7202	0
74.2369	32.7017	-nan	62.4138	87.4678	52.1725	63.6526	93.8379	71.0554	93.5888	48.0248	46.214	-nan	59.7714	-nan	62.9258	101.576	58.8643	64.4846	95.7218	0
75.1199	33.4916	-nan	63.4156	88.4719	53.2489	64.7294	94.8256	72.0971	94.5817	13.1958	46.967	1	61.0849	-nan	64.7676	102.577	43.8362	63.4586	96.7236	0
76.1247	34.4935	-nan	65.2478	89.4802	54.3524	65.8046	95.8134	73.1506	95.5749	50.4468	48.113	-nan	62.248	-nan	66.6793	103.577	63.0729	68.5707	97.7251	0
76.7797	34.8707	-nan	65.8851	90.4821	55.4126	66.8804	96.8014	74.1852	96.5682	8.6076	47.5581	1	63.5542	-nan	67.1535	104.578	46.0969	64.5862	98.7268	0
